Date,League,Entry,Type,Investment,Odds,Gain,Result
2022-10-18,NBA,Embiid DD + Harris ab. 19 pts,Pair,10,1.71,7.100000000000001,Green
2022-10-18,NBA,"Brown 1ºqt ac. 5,5 pts",Points,10,1.8,8.0,Red
2022-10-18,NBA,"Celtics ac. 55,5 pts 1T",Total,10,1.86,8.600000000000001,Green
2022-10-18,NBA,"Maxey 15 pts + White ac. 6,5 pts",Pair,10,1.57,5.700000000000001,Red
2022-10-18,NBA,"GSW ac. 57,5 pts",Total,10,1.9,9.0,Green
2022-10-18,NBA,"Davis ac. 9,5 rebotes",Rebounds,10,1.9,9.0,Red
2022-10-18,NBA,"Curry ac. 23,5 pts",Points,10,1.9,9.0,Green
2022-10-18,NBA,GSW vence + Lebron 2 3pt,Pair,10,1.62,6.200000000000003,Green
2022-10-18,NBA,"Brown ac. 22,5 pts",Points,10,1.8,8.0,Green
2022-10-18,NBA,"Embiid ac. 10,5 rebotes",Rebounds,10,1.68,6.800000000000001,Green
2022-10-19,NBA,Ivey 3 ast,Assists,10,1.54,5.4,Green
2022-10-19,NBA,"Bey ac. 17,5 pts",Points,10,1.86,8.600000000000001,Red
2022-10-19,NBA,"Carter Jr ac. 2,5 ast",Assists,10,1.71,7.100000000000001,Green
2022-10-19,NBA,"Heat -6,5",Handicap,10,1.71,7.100000000000001,Red
2022-10-19,NBA,"Lowry 1,5 TO",Turnovers,10,1.74,7.399999999999999,Green
2022-10-19,NBA,"Derozan ac. 21,5 pts + Bulls ac. 46,5 pts",Pair,10,1.66,6.599999999999998,Green
2022-10-19,NBA,"Anunoby ac. 15,5 pts",Points,10,1.83,8.3,Green
2022-10-19,NBA,"Garland ac. 6,5 ast",Assists,10,1.74,7.399999999999999,Red
2022-10-19,NBA,"Green ac. 22,5 pts",Points,10,1.86,8.600000000000001,Red
2022-10-19,NBA,"McCollum ac. 4,5 ast",Assists,10,1.83,8.3,Green
2022-10-19,NBA,"Nets ac. 55,5 pts",Total,10,1.57,5.700000000000001,Red
